Curso,Rama,Avila,Zamora,Burgos,Leon,Salamanca,Valladolid,Palencia,Soria,Segovia
2011-2012,0,3974,3974,167,936,3974,2135,2135,2135,2135
2011-2012,1,4340,4340,576,2075,4340,2448,2448,2448,2448
2011-2012,2,2635,2635,160,1403,2635,910,910,910,910
2011-2012,3,4070,4070,3582,3613,4070,6784,6784,6784,6784
2011-2012,4,7668,7668,2147,4421,7668,7804,7804,7804,7804
2011-2012,5,3148,3148,2061,1307,3148,3721,3721,3721,3721
2012-2013,0,3731,3731,196,917,3731,2137,2137,2137,2137
2012-2013,1,4709,4709,686,1559,4709,2462,2462,2462,2462
2012-2013,2,2598,2598,152,1372,2598,922,922,922,922
2012-2013,3,4483,4483,3065,3902,4483,6386,6386,6386,6386
2012-2013,4,7273,7273,2411,4206,7273,7828,7828,7828,7828
2012-2013,5,3227,3227,1735,1150,3227,4044,4044,4044,4044
2013-2014,0,3849,3849,235,695,3849,1865,1865,1865,1865
2013-2014,1,4920,4920,775,1901,4920,2820,2820,2820,2820
2013-2014,2,2348,2348,147,1173,2348,1083,1083,1083,1083
2013-2014,3,3857,3857,1725,4866,3857,6223,6223,6223,6223
2013-2014,4,9728,9728,4138,4947,9728,12639,12639,12639,12639
2013-2014,5,,,,,,,,,
2014-2015,0,3429,3429,258,878,3429,1821,1821,1821,1821
2014-2015,1,4784,4784,812,1623,4784,2890,2890,2890,2890
2014-2015,2,2343,2343,151,1152,2343,1122,1122,1122,1122
2014-2015,3,3209,3209,2101,4149,3209,5508,5508,5508,5508
2014-2015,4,6865,6865,2317,3824,6865,7786,7786,7786,7786
2014-2015,5,2436,2436,1532,889,2436,3293,3293,3293,3293
2015-2016,0,3420,3420,356,838,3420,1717,1717,1717,1717
2015-2016,1,4698,4698,841,1591,4698,2867,2867,2867,2867
2015-2016,2,2289,2289,160,1154,2289,1097,1097,1097,1097
2015-2016,3,2785,2785,1775,2836,2785,4841,4841,4841,4841
2015-2016,4,6268,6268,2254,3467,6268,6536,6536,6536,6536
2015-2016,5,2456,2456,1349,1039,2456,3458,3458,3458,3458
2016-2017,0,3389,3389,463,792,3389,1580,1580,1580,1580
2016-2017,1,4708,4708,864,1564,4708,2881,2881,2881,2881
2016-2017,2,2230,2230,178,1117,2230,1112,1112,1112,1112
2016-2017,3,2590,2590,1606,2260,2590,4520,4520,4520,4520
2016-2017,4,6189,6189,2260,3290,6189,6644,6644,6644,6644
2016-2017,5,2469,2469,1352,1056,2469,3099,3099,3099,3099
2017-2018,0,3434,3434,540,601,3434,1532,1532,1532,1532
2017-2018,1,4674,4674,837,1487,4674,2831,2831,2831,2831
2017-2018,2,2236,2236,176,1128,2236,1086,1086,1086,1086
2017-2018,3,2502,2502,1512,2082,2502,4191,4191,4191,4191
2017-2018,4,6055,6055,2140,2757,6055,6338,6338,6338,6338
2017-2018,5,2542,2542,1357,1048,2542,3091,3091,3091,3091
